species,order,family,mass_g,mass_kg,gestation_days,source
Hippocamelus antisensis,Artiodactyla,Cervidae,68599.35,68.59935,235.72,PanTHERIA_WR05
Hippocamelus bisulcus,Artiodactyla,Cervidae,69240.81,69.24081,212.91,PanTHERIA_WR05
Hippopotamus amphibius,Artiodactyla,Hippopotamidae,1536310.4,1536.3104,235.37,PanTHERIA_WR05
Hipposideros ater,Chiroptera,Hipposideridae,5.86,0.00586,195,PanTHERIA_WR05
Hipposideros bicolor,Chiroptera,Hipposideridae,8.39,0.00839,42.1,PanTHERIA_WR05
Hipposideros caffer,Chiroptera,Hipposideridae,9.46,0.00946,139.92,PanTHERIA_WR05
Hipposideros commersoni,Chiroptera,Hipposideridae,89.99,0.08999,150.34,PanTHERIA_WR05
Hipposideros cyclops,Chiroptera,Hipposideridae,32.92,0.03292,106.45,PanTHERIA_WR05
Hipposideros fulvus,Chiroptera,Hipposideridae,8.83,0.00883,161.65,PanTHERIA_WR05
Hipposideros lankadiva,Chiroptera,Hipposideridae,44.76,0.04476,257.02,PanTHERIA_WR05
Hipposideros ruber,Chiroptera,Hipposideridae,10.61,0.01061,92.54,PanTHERIA_WR05
Hipposideros speoris,Chiroptera,Hipposideridae,10.39,0.01039,139.13,PanTHERIA_WR05
Hippotragus equinus,Artiodactyla,Bovidae,264173.96,264.17396,278.23,PanTHERIA_WR05
Hippotragus niger,Artiodactyla,Bovidae,236405.9,236.4059,272.87,PanTHERIA_WR05
Histriophoca fasciata,Carnivora,Phocidae,90000,90,299.18,PanTHERIA_WR05
Holochilus brasiliensis,Rodentia,Cricetidae,155,0.155,28.4,PanTHERIA_WR05
Homo sapiens,Primates,Hominidae,58540.63,58.54063,274.78,PanTHERIA_WR05
Hoplomys gymnurus,Rodentia,Echimyidae,281.42,0.28142,59.99,PanTHERIA_WR05
Hyaena brunnea,Carnivora,Hyaenidae,42977.93,42.97793,95.8,PanTHERIA_WR05
Hyaena hyaena,Carnivora,Hyaenidae,35070.51,35.07051,90.5,PanTHERIA_WR05
Hybomys univittatus,Rodentia,Muridae,54.46,0.05446,30,PanTHERIA_WR05
Hydrictis maculicollis,Carnivora,Mustelidae,4180.53,4.18053,59.6,PanTHERIA_WR05
Hydrochoerus hydrochaeris,Rodentia,Caviidae,48144.91,48.14491,150.73,PanTHERIA_WR05
Hydrochoerus isthmius,Rodentia,Caviidae,21267.32,21.26732,108.21,PanTHERIA_WR05
Hydrodamalis gigas,Sirenia,Dugongidae,4000000,4000,365,PanTHERIA_WR05
Hydromys chrysogaster,Rodentia,Muridae,626.17,0.62617,36.6,PanTHERIA_WR05
Hydropotes inermis,Artiodactyla,Cervidae,12760.04,12.76004,175.49,PanTHERIA_WR05
Hydrurga leptonyx,Carnivora,Phocidae,352675.48,352.67548,272.79,PanTHERIA_WR05
Hyemoschus aquaticus,Artiodactyla,Tragulidae,10850,10.85,173.52,PanTHERIA_WR05
Hylobates klossii,Primates,Hylobatidae,5822.29,5.82229,207.59,PanTHERIA_WR05
Hylobates lar,Primates,Hylobatidae,5578.61,5.57861,212.91,PanTHERIA_WR05
Lasionycteris noctivagans,Chiroptera,Vespertilionidae,11.02,0.01102,53.55,PanTHERIA_WR05
Lasiurus borealis,Chiroptera,Vespertilionidae,12.33,0.01233,84.21,PanTHERIA_WR05
Lasiurus cinereus,Chiroptera,Vespertilionidae,27.06,0.02706,57.18,PanTHERIA_WR05
Lasiurus ega,Chiroptera,Vespertilionidae,12.2,0.0122,96.22,PanTHERIA_WR05
Lavia frons,Chiroptera,Megadermatidae,23.8,0.0238,93.86,PanTHERIA_WR05
Leggadina lakedownensis,Rodentia,Muridae,17.5,0.0175,32.99,PanTHERIA_WR05
