species,order,family,mass_g,mass_kg,weaning_days,source
Callithrix humeralifera,Primates,Cebidae,374.99,0.37499,99.01,PanTHERIA_WR05
Callithrix jacchus,Primates,Cebidae,290.21,0.29021,60.24,PanTHERIA_WR05
Callithrix pygmaea,Primates,Cebidae,123.94,0.12394,90.73,PanTHERIA_WR05
Callorhinus ursinus,Carnivora,Otariidae,55464.82,55.46482,108.69,PanTHERIA_WR05
Calomys callosus,Rodentia,Cricetidae,44.95,0.04495,18.33,PanTHERIA_WR05
Atherurus africanus,Rodentia,Hystricidae,2875.65,2.87565,45.37,PanTHERIA_WR05
Atilax paludinosus,Carnivora,Herpestidae,3600.16,3.60016,35.89,PanTHERIA_WR05
Avahi laniger,Primates,Indriidae,1092.28,1.09228,149.15,PanTHERIA_WR05
Axis axis,Artiodactyla,Cervidae,69499.99,69.49999,121.66,PanTHERIA_WR05
Babyrousa babyrussa,Artiodactyla,Suidae,92950.09,92.95009,212.91,PanTHERIA_WR05
Balaenoptera musculus,Cetacea,Balaenopteridae,1.543213e+08,154321.3,211.71,PanTHERIA_WR05
Balaenoptera physalus,Cetacea,Balaenopteridae,47506008,47506.008,196.58,PanTHERIA_WR05
Balantiopteryx plicata,Chiroptera,Emballonuridae,6.57,0.00657,58.59,PanTHERIA_WR05
Bandicota bengalensis,Rodentia,Muridae,226.99,0.22699,30.03,PanTHERIA_WR05
Bandicota indica,Rodentia,Muridae,583.09,0.58309,27.3,PanTHERIA_WR05
Cephalophus niger,Artiodactyla,Bovidae,19094.32,19.09432,89.49,PanTHERIA_WR05
Cephalophus rufilatus,Artiodactyla,Bovidae,12114.57,12.11457,85.59,PanTHERIA_WR05
Cephalophus silvicultor,Artiodactyla,Bovidae,62006.6,62.0066,34.9,PanTHERIA_WR05
Cephalophus zebra,Artiodactyla,Bovidae,15654.75,15.65475,13.64,PanTHERIA_WR05
Cephalorhynchus hectori,Cetacea,Delphinidae,49999.99,49.99999,355.65,PanTHERIA_WR05
Ceratotherium simum,Perissodactyla,Rhinocerotidae,2285939.4,2285.9394,365,PanTHERIA_WR05
Cercartetus caudatus,Diprotodontia,Burramyidae,23.05,0.02305,76.04,PanTHERIA_WR05
Cercartetus concinnus,Diprotodontia,Burramyidae,15.96,0.01596,49.99,PanTHERIA_WR05
Cercartetus lepidus,Diprotodontia,Burramyidae,8.03,0.00803,89.99,PanTHERIA_WR05
Cercartetus nanus,Diprotodontia,Burramyidae,26.85,0.02685,62.5,PanTHERIA_WR05
Cercopithecus ascanius,Primates,Cercopithecidae,3540.24,3.54024,146.54,PanTHERIA_WR05
Cercopithecus campbelli,Primates,Cercopithecidae,3627.73,3.62773,362.93,PanTHERIA_WR05
Cercopithecus cephus,Primates,Cercopithecidae,3444.88,3.44488,362.93,PanTHERIA_WR05
