species,class,order,family,mass_kg,specific_mr,specific_mr_units,source
Lasius sitiens,Insecta,Hymenoptera,Formicidae,2.9e-07,11,W/kg,AnimalTraits
Anthia babaulti,Insecta,Coleoptera,Carabidae,0.001295,2.4513035,W/kg,AnimalTraits
Cypholoba bihamata,Insecta,Coleoptera,Carabidae,0.000245,3.8655171,W/kg,AnimalTraits
Cypholoba tenuicollis,Insecta,Coleoptera,Carabidae,5.9e-05,4.1012193,W/kg,AnimalTraits
Cypholoba tetrastigma,Insecta,Coleoptera,Carabidae,0.000132,5.9868374,W/kg,AnimalTraits
Cypholoba trilunata,Insecta,Coleoptera,Carabidae,0.000213,2.4513035,W/kg,AnimalTraits
Cypholoba sp.,Insecta,Coleoptera,Carabidae,0.000192,4.8083261,W/kg,AnimalTraits
Chilanthia cavernosa,Insecta,Coleoptera,Carabidae,0.001026,1.5084945,W/kg,AnimalTraits
Anthia hexastictum,Insecta,Coleoptera,Carabidae,0.002025,1.1785113,W/kg,AnimalTraits
Cypholoba chanleri,Insecta,Coleoptera,Carabidae,0.000326,2.3570226,W/kg,AnimalTraits
